TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2025,11,25,0,0,10XX PACIFIC ST,West End,490246.7971,5458367.4099
Break and Enter Commercial,2025,11,29,18,53,10XX PACIFIC ST,West End,490246.7971,5458367.4099
Break and Enter Commercial,2025,1,2,0,0,10XX PACIFIC ST,West End,490258.8902,5458368.3026
Break and Enter Commercial,2025,6,10,19,27,10XX PACIFIC ST,West End,490298.1327,5458316.5676
Break and Enter Commercial,2025,1,13,3,43,10XX ROBSON ST,West End,491036.3006,5458993.5239
Break and Enter Commercial,2025,3,27,13,0,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Break and Enter Commercial,2025,3,27,14,19,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Break and Enter Commercial,2025,10,16,23,23,10XX SE MARINE DR,Sunset,493873.1291,5450918.867
Break and Enter Commercial,2025,11,28,2,55,10XX SE MARINE DR,Sunset,493875.6666,5450918.9295
Break and Enter Commercial,2025,8,13,18,29,10XX STATION ST,Strathcona,492788.6724,5458074.8982
Break and Enter Commercial,2025,3,16,3,7,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2025,11,18,0,37,10XX STATION ST,Strathcona,492837.9336,5458068.253
Break and Enter Commercial,2025,4,24,2,23,10XX SW MARINE DR,Marpole,490426.4215,5450190.3986
Break and Enter Commercial,2025,8,20,8,0,10XX SW MARINE DR,Marpole,490456.6943,5450204.966
Break and Enter Commercial,2025,10,26,10,56,10XX W 42ND AVE,Oakridge,490639.4061,5453373.0886
Break and Enter Commercial,2025,11,11,6,27,10XX W 7TH AVE,Fairview,490670.7998,5456948.1058
Break and Enter Commercial,2025,2,10,10,34,10XX W BROADWAY AVE,Fairview,490670.584,5456744.2403
Break and Enter Commercial,2025,9,30,5,48,10XX W BROADWAY AVE,Fairview,490670.584,5456744.2403
Break and Enter Commercial,2025,2,17,6,58,10XX W GEORGIA ST,Central Business District,491115.4503,5459163.477
Break and Enter Commercial,2025,2,7,14,30,10XX W GEORGIA ST,Central Business District,491115.752,5459163.1779
Break and Enter Commercial,2025,11,9,21,0,10XX W HASTINGS ST,Central Business District,491449.2475,5459411.3564
Break and Enter Commercial,2025,5,28,1,21,11XX ALBERNI ST,West End,490918.5751,5459261.0065
Break and Enter Commercial,2025,12,16,18,50,11XX ALBERNI ST,West End,490951.5114,5459241.8337
Break and Enter Commercial,2025,3,11,13,34,11XX BROUGHTON ST,West End,490149.4839,5459059.9105
Break and Enter Commercial,2025,4,8,2,35,11XX BURRARD ST,Central Business District,490669.3771,5458547.9857
Break and Enter Commercial,2025,6,10,4,30,11XX BURRARD ST,Central Business District,490715.2484,5458594.519
Break and Enter Commercial,2025,3,29,4,15,11XX CARDERO ST,West End,489942.1379,5459205.4781
Break and Enter Commercial,2025,11,10,3,0,11XX DAVIE ST,West End,490336.1285,5458763.2644
Break and Enter Commercial,2025,9,20,8,24,11XX DAVIE ST,West End,490360.0777,5458725.7671
Break and Enter Commercial,2025,1,28,5,45,11XX DENMAN ST,West End,489739.2686,5459446.8359
Break and Enter Commercial,2025,12,1,6,17,11XX DENMAN ST,West End,489739.2686,5459446.8359
Break and Enter Commercial,2025,10,24,4,0,11XX E BROADWAY AVE,Mount Pleasant,494129.2655,5456626.8944
Break and Enter Commercial,2025,8,17,18,15,11XX E GEORGIA ST,Strathcona,494113.7408,5458385.2242
Break and Enter Commercial,2025,6,2,17,10,11XX E HASTINGS ST,Strathcona,494148.911,5458699.4552
Break and Enter Commercial,2025,4,20,0,0,11XX GILFORD ST,West End,489669.3754,5459617.6932
Break and Enter Commercial,2025,8,6,10,45,11XX GRANVILLE ST,Central Business District,490849.3205,5458308.7845
Break and Enter Commercial,2025,2,13,4,9,11XX GRANVILLE ST,Central Business District,490853.6809,5458300.2021
Break and Enter Commercial,2025,7,20,9,25,11XX GRANVILLE ST,Central Business District,490861.4419,5458320.9702
Break and Enter Commercial,2025,5,19,4,39,11XX GRANVILLE ST,Central Business District,490864.1779,5458323.7208
Break and Enter Commercial,2025,12,28,5,5,11XX GRANVILLE ST,Central Business District,490879.1765,5458338.7989
Break and Enter Commercial,2025,3,25,14,17,11XX GRANVILLE ST,Central Business District,490889.7633,5458336.4759
Break and Enter Commercial,2025,11,13,15,0,11XX GRANVILLE ST,Central Business District,490903.5654,5458363.3156
Break and Enter Commercial,2025,10,25,9,30,16XX W 7TH AVE,Fairview,489699.7752,5456963.754
Break and Enter Commercial,2025,5,16,8,21,16XX W 8TH AVE,Fairview,489591.3092,5456873.7603
Break and Enter Commercial,2025,8,18,17,0,16XX W BROADWAY AVE,Fairview,489627.8011,5456778.9925
Break and Enter Commercial,2025,1,9,13,18,16XX W BROADWAY AVE,Fairview,489690.8107,5456767.7932
Break and Enter Commercial,2025,5,14,21,5,16XX W GEORGIA ST,West End,490393.3729,5459874.8689
Break and Enter Commercial,2025,9,18,9,0,16XX WHYTE AVE,Kitsilano,489671.4776,5458129.1024
Break and Enter Commercial,2025,4,27,2,33,17XX COLUMBIA ST,Mount Pleasant,492044.2567,5457407.3561
Break and Enter Commercial,2025,5,23,8,37,17XX COMOX ST,West End,489904.7764,5459485.4095
Break and Enter Commercial,2025,11,28,23,0,17XX COOK ST,Mount Pleasant,491985.4188,5457397.3966
Break and Enter Commercial,2025,1,29,4,50,17XX DAVIE ST,West End,489718.6811,5459362.2899
Break and Enter Commercial,2025,1,4,17,0,17XX DAVIE ST,West End,489773.7611,5459320.3881
Break and Enter Commercial,2025,9,3,16,30,17XX DRUMMOND DR,West Point Grey,483886.123,5457692.9503
